Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,City  Location,Investors Name,InvestmentnType,Amount
167,03-04-2015,Swiggy,Online Food Delivery,Bangalore,"Accel Partners, SAIF Partners",Private Equity,2000000
168,04-04-2015,Bluegape,Web Content Publishing,Gurgaon,"Rudy Gopalakrishnan, ah! Ventures",Seed Funding,200000
169,04-04-2015,KeepTrax,Location Based App,Dallas / Hyderabad,,Seed Funding,1000000
170,06-04-2015,InstaLively,Video Streaming,New Delhi,"Rajesh Sawheny , Rajan Anandan, Amit Ranjan, Niraj Singh, AECAL, MeraEvents.",Seed Funding,120000
171,07-04-2015,Pricejugaad,Price Comparison,Hyderabad,"Amit Tyagi, Sandeep Acharya & others",Seed Funding,165000
172,07-04-2015,Quikr,Online Classifieds,Mumbai,"Tiger Global, Investment AB Kinnevik, Steadview Capital",Private Equity,150000000
173,07-04-2015,PressPlay,Travel Entertainment,New Delhi,"Sequoia Capital, Jason Hirschhorn, Jarett Posner, and Amit Bhatiani",Seed Funding,2200000
175,08-04-2015,FirstCry.com,eCommerce,Pune,"Silicon Valley Ventures, NEA Ventures, Valiant Capital, IDG Ventures India,\\xc2\\xa0 SAIF Partners, Vertex Ventures",Private Equity,10000000
176,08-04-2015,MobiKwik,Digital / Mobile Wallet,Gurgaon,"Tree Line Asia, Cisco Investments, American Express, Sequoia Capital",Private Equity,25000000
177,08-04-2015,Olacabs,Cab Aggregator,Bangalore,"DST Global, Steadview Capital, Tiger Global, Accel Partners & Others",Private Equity,400000000
178,09-04-2015,Gadgetwood,Device Repair Svcs,New Delhi,"Ajai Chowdhry, Ashvin Chadha, Yogesh Bansal,\\nNitin Singhal & Others",Seed Funding,200000
179,09-04-2015,Bonhomia,Premium Beverages,New Delhi,"Kanwaljit Singh, Shripad Nadkarni, Sarvesh Shahra & Others",Seed Funding,2000000
180,09-04-2015,Changer Mints,Digital / Mobile Wallet,Kolkata,Hyderabad based investor,Seed Funding,165000
181,09-04-2015,Urban Ladder,Online Furnishing\\neCommerce,Bangalore,"Sequoia Capital, TR Capital, Steadview Capital, SAIF Partners, Kalaari Capital",Private Equity,50000000
183,10-04-2015,Whatfix,Interactive\\xc2\\xa0 How-To Guides,Bangalore,"Helion Venture Partner, Powerhouse Ventures, GSF and Other angel investors",Seed Funding,900000
185,11-04-2015,Zomato,Restaurant Reviews,Gurgaon,Info Edge (India),Private Equity,25000000
186,13-04-2015,ZopNow,Online Grocer,Bangalore,"Dragoneer Investment, Accel Partners, Qualcomm Ventures, Times Internet",Private Equity,10000000
187,13-04-2015,Nayi Disha,Ed-Tech,New Delhi,"Ajay Relan,",Seed Funding,300000
188,13-04-2015,Commeasure,Online Hotel Booking,Noida,Jungle Ventures,Seed Funding,1000000
189,13-04-2015,Capricoast,Online Kitchen Furniture,Bangalore,Accel Partners India,Seed Funding,1250000
190,14-04-2015,LocalOye,Hyper-local Online Services,Mumbai,"Tiger Global Management, Lightspeed Venture Partners",Private Equity,5000000
191,15-04-2015,Grofers,Hyper-Local Online/Mobile Grocery,Gurgaon,"Tiger Global, Sequoia Capital",Private Equity,35000000
192,15-04-2015,PepperTap,Hyper-Local Online/Mobile Grocery,Gurgaon,"SAIF Partners, Sequoia Capital",Private Equity,10000000
193,15-04-2015,PolicyBazaar,Online Policy Aggregator,Gurgaon,"PremjiInvest, Tiger Global, Ribbit Capital",Private Equity,40000000
194,16-04-2015,UrbanClap,Hyperlocal Mobile Services Marketplace,New Delhi,"SAIF Partners, Accel Partners, Kunal Bahl, Rohit Bansal",Seed Funding,1600000
195,16-04-2015,Taskbob,OnDemand\\nMobile Handyman Services,Mumbai,"Orios Venture Partners, Mayfield India",Seed Funding,1200000
196,17-04-2015,Robosoft,Mobile App Development,Udupi,"Ascent Capital, Kalaari Capital",Private Equity,12000000
199,20-04-2015,Pastiwala,Material Collection & Recycling,Vadodara,Agnus Capital,Private Equity,4000000
200,20-04-2015,1mg (Healthkartplus),Online Pharmacy & Drug DB,Gurgaon,"Deep Kalra, Sequoia Capital, Omidyar Network, Intel Capital & Kae Capital",Private Equity,6000000
201,20-04-2015,Freshdesk,Online / Mobile Customer Support,Chennai,"Tiger Global, Google Capital & Accel Partners",Private Equity,50000000
202,20-04-2015,Sulekha.com,Online Classifieds & Listings,Chennai,GIC ventures,Private Equity,28000000
204,22-04-2015,Eat.Shop.Love,Fashion ECommerce,Bangalore,Undisclosed Investor,Private Equity,3500000
205,22-04-2015,Avanti Learning,Private Coaching Centers,New Delhi,"Michael & Susan Dell Foundation, Pearson Learning Fund",Private Equity,1500000
206,23-04-2015,Simplilearn,Online Certification Courses,Bangalore,"Mayfield Ventures, Kalaari Capital, Helion Ventures",Private Equity,15000000
207,23-04-2015,Craftstvilla,Ethnic Product eCommerce,Mumbai,"Sequoia Capital, Nexus venture Partners, Lightspeed Ventures, GFC",Private Equity,18000000
208,23-04-2015,HeadOut,Last Minute Travel Deals mobile marketplace,Bangalore / SFO,"Version One Ventures, 500 Startups, Nexus Venture Partners and Arena Ventures",Seed Funding,1800000
209,23-04-2015,happay,usiness expense management,Bangalore,AngelPrime,Seed Funding,500000
210,23-04-2015,Jugnoo,Auto Rickshaw based Logistics,Chandigarh,"Rakesh Mathur, Vikas Taneja & others",Seed Funding,1000000
213,24-04-2015,Coverfox,Online Insurance Aggregator,Mumbai,"Accel US, Accel India, SAIF Partners.",Private Equity,12000000
214,27-04-2015,Torqus,Restaurant Management Platform,Pune,S S Mukherji & Others,Seed Funding,350000
215,27-04-2015,Grab,Food Logistics & Delivery,Mumbai,"Oliphans Capital, Haresh Chawla",Seed Funding,1000000
216,27-04-2015,LogicRoots,Interactive Educational Games,Jaipur,"Ah! Ventures, Calcutta Angels,\\xc2\\xa0 91SpringBoard",Seed Funding,400000
218,28-04-2015,Babajobs,Grey collar Job Board,Bangalore,SEEK Ltd & affiliates,Private Equity,10000000
220,28-04-2015,Jay Robotix,Robotic Program learning,Hyderabad,Cross Border Angels & others,Seed Funding,250000
221,28-04-2015,Naaptol.com,Tele-Shopping / eCommerce,Mumbai,Mitsui & Co & existing investors,Private Equity,21500000
222,29-04-2015,ReGlobe,Used Gadgets Buy / Refurbishing,Gurgaon,"Bessemer Ventures, Blume Ventures",Seed Funding,1000000
223,29-04-2015,Icertis,Cloud Enterprise Software,Pune / US,"Greycroft Partners, Fidelity Growth Partners",Private Equity,6000000
224,29-04-2015,Tracxn,Startup Analytics platform,Bangalore,SAIF Partners,Private Equity,3500000
226,29-04-2015,Tradelab,Financial Markets Software,Bangalore,Rainmatter,Seed Funding,400000
227,29-04-2015,PiQube,Hiring Analytics platform,Chennai,The HR Fund,Seed Funding,500000
228,29-04-2015,Travel Triangle,Online Travel Marketplace,Noida,"Bessemer Venture Partners, SAIF Partners",Private Equity,8000000
229,01-05-2015,Foodpanda,Online Food Delivery,Gurgaon,"Goldman Sachs, Rocket Internet",Private Equity,100000000
230,01-05-2015,Termsheet,Fund Raising Platform,Chennai,"Anand Vijay, Nipun Dureja, Satyajit Heeralal, Keith Rodricks, Gaurav Lochan, Azmul Haque, Nikhil Bagri",Seed Funding,100000
231,04-05-2015,Applicate,Workforce Management Software,Bangalore,"Rishi Vasudev, Amit Gupta, Rajiv Nayan",Seed Funding,550000
232,04-05-2015,World Art Community,Online Art Marketplace,Gurgaon,Viraj Tyagi & others,Seed Funding,200000
233,04-05-2015,SpoonJoy,Online Food Delivery,Bangalore,SAIF Partners,Seed Funding,1000000
234,05-05-2015,Seed Schools,Affordable Education,Hyderabad,Acumen Fund,Seed Funding,650000
235,05-05-2015,Ignis Careers,Career Development,Hyderabad,Acumen Fund,Seed Funding,250000
236,05-05-2015,Square Yards,Real Estate Advisory,Gurgaon,Undisclosed Investors,Private Equity,6000000
237,05-05-2015,Fintellix,Banking Analytics Platform,Bangalore,"IDG Ventures, Sequoia Capital",Private Equity,15000000
239,06-05-2015,Delhivery,Ecommerce Logistics,Gurgaon,"Tiger Global Management, Multiples Alternate Asset Management, Nexus Venture Partners, Times Internet",Private Equity,85000000
240,06-05-2015,Swiggy,Online Food Delivery,Bangalore,Norwest Venture Partners,Private Equity,15000000
242,07-05-2015,Box8,Online Food Delivery,Mumbai,Mayfield Ventures,Private Equity,3500000
243,07-05-2015,Toppr,Online Education Platform,Mumbai,"Fidelity Growth Partners India, SAIF Partners,\\xc2\\xa0 Helion Ventures",Private Equity,10000000
244,07-05-2015,Vedantu,Online Education Platform,Bangalore,"Accel Partners, Tiger Global Management",Private Equity,5000000
245,08-05-2015,BuyHatke,Online Product Comparison,Bangalore,"S.Gopalakrishnan, Beenos",Seed Funding,1000000
247,08-05-2015,Uniken,Online Security Platform,Pune,Exfinity Ventures,Private Equity,2000000
248,08-05-2015,GrandOpinion,Online Medical Diagnostic,New Delhi,Florida based Angel investor,Seed Funding,150000
250,12-05-2015,ZapStitch,Cloud Data Integration Platform,Bangalore,"Helion Venture Partners, Orios Venture Partners",Private Equity,2000000
251,12-05-2015,Wassup,Mobile Laundry Cleaning Service,Chennai,"Arun Chandra Mohan, Praveen Sinha",Private Equity,2000000
255,14-05-2015,IndianRoots.com,Lifestyle Ecommerce Portal,Gurgaon,KJS Group,Private Equity,5000000
256,14-05-2015,RedPolka,Online Fashion Aggregator,Mumbai,Undisclosed Investors,Seed Funding,250000
257,15-05-2015,Venturesity,Online Job skills Showcase,Bangalore,"Phanindra Sama, Jay Sethuram, Hemant Kanakia, Ravi Trivedi",Seed Funding,270000
260,19-05-2015,Chaayos,Offline Tea Chain,New Delhi,Tiger Global Management,Private Equity,1000000
261,19-05-2015,Akosha,Business Messaging App,New Delhi,Sequoia Capital,Private Equity,16000000
262,19-05-2015,Cooey,Health Mobile App,Bangalore,Subhash Goyal,Seed Funding,470000
263,19-05-2015,MeetUniv,Online Ed-Tech Platform,Noida,Peesh Venture Capital,Seed Funding,1000000
265,19-05-2015,Crown-it,Hyperlocal Mobile Marketplace,Gurgaon,"Accel Partners, Helion Venture Partners",Private Equity,5500000
266,19-05-2015,Trucksfirst,Trucking Logistic Operations,Gurgaon,SAIF partners,Private Equity,10000000
268,20-05-2015,Lookup,B2C Messaging App,Bangalore,Biz Stone,Private Equity,3000000
272,22-05-2015,\\xc2\\xa0Nudgespot,Customer Engagement Platform,Bangalore,"Kae Capital, Anoop Goyal, Mike Shah, VA Sastry",Seed Funding,625000
274,22-05-2015,EveningFlavors,Online Table Reservation,Bangalore,Sandiep Shrivatsava,Seed Funding,500000
276,25-05-2015,ZenParent,Parents focused Web Content,Bangalore,i2india Ventures,Seed Funding,500000
278,26-05-2015,UrbanPro,On-demand Service marketplace,Bangalore,Nirvana Venture Advisors,Private Equity,2000000
279,26-05-2015,Goodbox,On-Demand Business messaging,Bangalore,Manipal Group,Seed Funding,200000
280,26-05-2015,Renderlogy,Online Home D\\xc3\\xa9cor,Hyderabad,Astarc Ventures,Private Equity,1000000
281,27-05-2015,Postman,API Workflow platform,Bangalore,Nexus Venture Partners,Seed Funding,1000000
282,27-05-2015,Casa2inns,Affordable Hotel Booking Online,New Delhi,"Accel Partners, Kalaari Capital",Private Equity,5000000
283,27-05-2015,FleetRover,Logistics Intelligence,Goa,"Tim Chen, Sanjay Venkat",Seed Funding,180000
284,28-05-2015,TheKarrier,Last Mile Logistics,Bangalore,"Sol Primero, Outbox Ventures, Nikunj Jain",Seed Funding,240000
285,28-05-2015,Zoomcar,Self-driven Car rental,Bangalore,Sequoia Capital,Private Equity,5000000
287,30-05-2015,Ather Energy,Electric Scooter Manufacturer,Bangalore,Tiger Global,Private Equity,12000000
289,01-06-2015,Veeba Foods,Healthy Food Manufacturer,New Delhi,"DSG Consumer Partners, Saama Capital.",Private Equity,6000000
290,01-06-2015,Truebil,Used Car Marketplace,Mumbai,"Kae Capital, Anupam Mittal",Seed Funding,500000
291,01-06-2015,Meritnation,Online Learning Platform,New Delhi,InfoEdge,Private Equity,4000000
292,01-06-2015,Eattreatonline,Healthy Food Online Community,New Delhi,Group of 15 Angel Investors,Seed Funding,350000
294,01-06-2015,Glamrs,Online Fashion Video Portal,Mumbai,"Ventureworks India, Blume Ventures, Batlivala & Karani Securities, Nikunj Jhaveri",Private Equity,1000000
295,01-06-2015,Proviera,Probiotic Technology Products Manufacturer,Chennai,Infuse Ventures,Private Equity,550000
296,01-06-2015,Arth DesignBuild,Architectural Design & Consulting,Hyderabad,Srinivas Tirupati,Seed Funding,500000
297,02-06-2015,Saama,Big Data & Analytics Services,Pune / US,Carrick Capital Partners,Private Equity,35000000
298,02-06-2015,AllIzHealth,Preventive Healthcare Services,Pune,Mumbai Angels & Other angel investors,Seed Funding,350000
301,03-06-2015,Propstack,Real Estate Intelligence Platform,Mumbai,DMG Information,Private Equity,3000000
302,03-06-2015,MyTaxiIndia,Online Car Rental Affiliates,New Delhi,Green House Ventures,Seed Funding,100000
303,03-06-2015,Arkin Net,Data Center Software platform,Pune / US,Nexus Venture Partners,Private Equity,15000000
304,03-06-2015,Little Black Book Delhi,Online City & Lifestyle Guide,New Delhi,"Rajan Anandan, Niraj Singh, Sachin Bhatia, Singapore Angel Network & Aseem Vadehra",Seed Funding,150000
306,03-06-2015,iCustomadeit,Bespoke Merchandize Marketplace,Pune,"Virendra Shahney, Dr Paresh Doshi",Seed Funding,250000
308,04-06-2015,Ecom Express,Logistics Solution Provider,New Delhi,Warburg Pincus,Private Equity,137000000
309,04-06-2015,Vidooly,Video Intelligence Platform,Noida,Bessemer Venture Partners,Private Equity,1000000
310,04-06-2015,Zopper,Hyperlocal Shopping App,Mumbai,"Tiger Global,\\xc2\\xa0 Nirvana Ventures Advisors",Private Equity,20000000
311,04-06-2015,Flipkart,eCommerce platform,Bangalore,Morgan Stanley,Private Equity,50000000
312,05-06-2015,kWatt Solutions,Renewable energy solutions,Mumbai,,Seed Funding,500000
313,05-06-2015,Medwell Ventures,Healthcare\\nService provider,Bangalore,"Fidelity Growth Partners, Fidelity Biosciences",Private Equity,10000000
314,05-06-2015,Jugnoo,Auto Rickshaw Based Services,Chandigarh,"Snow Leopard, Paytm",Private Equity,5000000
316,08-06-2015,Applied Solar Technologies,Off-grid Solar Power,Mumbai,"Future Fund,Bessemer Venture, Capricorn Investment and IFC",Private Equity,40000000
317,09-06-2015,Clovia,Private Label lingerie Ecommerce,New Delhi,IvyCap Ventures,Private Equity,5000000
318,09-06-2015,Swiggy,Online Food Ordering,Bangalore,"Norwest Venture Partners, SAIF Partners, Accel Partners",Private Equity,16500000
319,09-06-2015,PayMango,Mobile Commerce Platform,Gurgaon,Group of Angel Investors,Seed Funding,234000
321,09-06-2015,Teritree,Digital Marketing Services,Bangalore,KCL,Seed Funding,140000
323,10-06-2015,Voonik,Fashion Ecommerce store,Bangalore,"Sequoia Capital, Seedfund",Private Equity,5000000
324,11-06-2015,AdStringO,Mobile Compression Software,Mumbai,"Arihant Patni, Vishal Khare,\\xc2\\xa0 Viswanath Ramachandran",Seed Funding,350000
325,11-06-2015,Faircent.com,Peer to Peer Lending platform,Gurgaon,M&S Partners Pte. Ltd,Seed Funding,250000
